name,I size,L size,S size,best obj,best obj sabc,best obj matheuristic,mejora mec vs sabc,mejora sabc vs math,% mejora mec vs sabc,% mejora sabc vs math,model time sabc,model time matheuristic,total time matheuristic
Instance_168_16_,168,16,10,4.995000008,4.995,4.995,,,,,1.200658083,1.296252966,1.384646893
Instance_168_16_,168,16,50,4.849,4.848,4.848,,,,,4.842967033,6.455094099,6.780255079
Instance_168_16_,168,16,100,4.91145,4.88345,4.88345,,,,,11.54966712,12.24482417,12.88917708
Instance_168_16_,168,16,150,4.713244444,4.677400001,4.677400001,,,,,17.51172924,18.04518914,19.12626004
Instance_168_16_,168,16,200,4.84205,4.8221,4.8221,,,,,22.68176794,22.81453204,24.04057884
Instance_270_16_,270,16,10,5.580000003,5.525,5.525,,,,,1.376235962,1.500650406,1.933139801
Instance_270_16_,270,16,50,5.9145,5.8675,5.8675,,,,,6.183486938,8.48607111,9.274602175
Instance_270_16_,270,16,100,5.719,5.70245,5.70245,,,,,14.46481991,15.55372596,16.34278393
Instance_270_16_,270,16,150,5.857844447,5.834588893,5.834588893,,,,,21.79215598,22.62432003,23.75805497
Instance_270_16_,270,16,200,5.7808,5.77065,5.77065,,,,,28.19254613,29.76686406,31.34652519
Instance_500_16_,500,16,10,7.525000014,7.31,7.31,,,,,1.78963089,1.986008167,2.525167942
Instance_500_16_,500,16,50,7.5745,7.5245,7.5245,,,,,8.704142094,10.7704699,11.3674922
Instance_500_16_,500,16,100,7.47815,7.44245,7.44245,,,,,17.2087791,18.47359514,19.41463614
Instance_500_16_,500,16,150,7.567244448,7.507400003,7.507400003,,,,,28.44177294,29.06275892,30.74382806
Instance_500_16_,500,16,200,8.1495,8.12215,8.12215,,,,,41.21389961,41.93726993,43.96055913
Instance_900_16_,900,16,10,8.467500026,8.4275,8.4275,,,,,3.406800985,3.503255129,4.182003975
Instance_900_16_,900,16,50,9.278,9.238,9.238,,,,,12.79180908,14.29971695,15.40356684
Instance_900_16_,900,16,100,9.2937,9.2599,9.2599,,,,,36.4062798,37.42539978,38.6595521
Instance_900_16_,900,16,150,9.195733334,9.175755556,9.175755556,,,,,60.14420795,60.83840203,62.93901491
Instance_900_16_,900,16,200,9.4022,9.3896,9.3896,,,,,83.73968315,84.95425725,89.50536299
Instance_1500_16_,1500,16,10,9.990000001,9.939,9.939,,,,,3.107485294,3.467667818,4.357270002
Instance_1500_16_,1500,16,50,11.356,11.305,11.305,,,,,15.84310579,17.00645304,18.34673405
Instance_1500_16_,1500,16,100,10.6797,10.6402,10.6402,,,,,72.38479495,73.2793119,85.44224405
Instance_1500_16_,1500,16,150,11.28842222,11.27531111,11.27531111,,,,,201.5597351,203.9604959,206.9172351
Instance_1500_16_,1500,16,200,11.0536,11.05635,11.05635,1,,0.024878773,,236.0059631,239.1490171,253.3076801
