name,I size,L size,S size,model time,best obj,best bound,gap %,status,total time,iteration
Instance_168_16_,168,16,10,1.132649183,4.995000016,5.010318468,0.306675722,2,399.303086,V2 BLS
Instance_168_16_,168,16,50,5.125571728,4.849000001,4.850500001,0.030934213,2,3532.619182,V2 BLS
Instance_168_16_,168,16,100,11.52361894,4.91015,4.912275794,0.043293864,2,2072.879742,V2 BLS
Instance_168_16_,168,16,150,19.13856006,4.704322225,4.705975664,0.035147234,2,3333.289827,V2 BLS
Instance_168_16_,168,16,200,23.411623,4.83905,4.8396,0.011365867,2,1685.208067,V2 BLS
Instance_270_16_,270,16,10,1.307378769,5.580000012,5.580000012,0,2,1691.548724,V2 BLS
Instance_270_16_,270,16,50,6.833631992,5.893,5.893,0,2,2854.16908,V2 BLS
Instance_270_16_,270,16,100,15.276407,5.7085,5.708816667,0.005547283,2,2017.382094,V2 BLS
Instance_270_16_,270,16,150,21.39707899,5.851766669,5.851944446,0.003038019,2,3256.039551,V2 BLS
Instance_270_16_,270,16,200,28.494102,5.771,5.7719,0.015595217,2,2555.046273,V2 BLS
Instance_500_16_,500,16,10,1.698163271,7.485000064,7.535638953,0.676538256,2,3315.453287,V2 BLS
Instance_500_16_,500,16,50,8.811310768,7.5485,7.5495,0.013247665,2,3021.701336,V2 BLS
Instance_500_16_,500,16,100,18.0101943,7.45945,7.46155,0.02815221,2,776.1933141,V2 BLS
Instance_500_16_,500,16,150,32.23098111,7.544566667,7.54509838,0.007047637,2,1998.45881,V2 BLS
Instance_500_16_,500,16,200,40.40719104,8.1425,8.1432,0.008596868,2,1743.648049,V2 BLS
Instance_900_16_,900,16,10,2.804898739,8.4475,8.514690478,0.79538891,2,2757.748294,V2 BLS
Instance_900_16_,900,16,50,12.33830309,9.2585,9.2675,0.097207971,2,3096.014084,V2 BLS
Instance_900_16_,900,16,100,36.33458996,9.270250001,9.272880377,0.028374382,2,1764.313571,V2 BLS
Instance_900_16_,900,16,150,65.40282917,9.176411111,9.176892772,0.005248904,2,795.9143481,V2 BLS
Instance_900_16_,900,16,200,94.597965,9.3898,9.40025,0.111290975,2,3134.334946,V2 BLS
Instance_1500_16_,1500,16,10,2.258759022,9.98,9.98,0,2,3204.104824,V2 BLS
Instance_1500_16_,1500,16,50,17.17130709,11.3225,11.327,0.039743873,2,3288.647397,V2 BLS
Instance_1500_16_,1500,16,100,72.12313008,10.6402,10.68518563,0.422789341,2,84.44692111,0
Instance_1500_16_,1500,16,150,202.5838768,11.27531111,11.27592818,0.005472715,2,205.2557151,0
Instance_1500_16_,1500,16,200,238.8440108,11.05635,11.0635,0.06466872,2,252.1201551,0
