mejoró 1.6305  GRASP
mejoró 1.692 en initial L 8 con j = 0 localsearch 1  LS1
no mejoró 1.6305 en initial L 0 con j = 1 localsearch 2LS1
no mejoró 1.6305 en initial L 0 con j = 2 localsearch 2LS1
no mejoró 1.6715 en initial L 0 con j = 3 localsearch 2LS1
no mejoró 1.61 en initial L 0 con j = 4 localsearch 2LS1
no mejoró 1.6305 en initial L 0 con j = 5 localsearch 2LS1
mejoró 1.733 en initial L 0 con j = 6 localsearch 2  LS1
no mejoró 1.692 en initial L 6 con j = 0 localsearch 3LS1
no mejoró 1.6305 en initial L 6 con j = 1 localsearch 3LS1
no mejoró 1.6305 en initial L 6 con j = 2 localsearch 3LS1
no mejoró 1.6715 en initial L 6 con j = 3 localsearch 3LS1
no mejoró 1.61 en initial L 6 con j = 4 localsearch 3LS1
no mejoró 1.6305 en initial L 6 con j = 5 localsearch 3LS1
no mejoró 1.6305 en initial L 6 con j = 7 localsearch 3LS1
no mejoró 1.6305 en initial L 6 con j = 8 localsearch 3LS1
no mejoró 1.61 en initial L 6 con j = 9 localsearch 3LS1
no mejoró 1.61 en initial L 6 con j = 10 localsearch 3LS1
no mejoró 1.651 en initial L 6 con j = 11 localsearch 3LS1
no mejoró 1.61 en initial L 6 con j = 12 localsearch 3LS2
no mejoró 1.692 en initial L 6 con j = 12 localsearch 3LS3
no mejoró 1.61 en initial L 6 con j = 13 localsearch 3LS1
no mejoró 1.61 en initial L 6 con j = 14 localsearch 3LS2
no mejoró 1.692 en initial L 6 con j = 14 localsearch 3LS3
no mejoró 1.651 en initial L 6 con j = 15 localsearch 3LS1
no mejoró 1.6425 en initial L 6 con j = 16 localsearch 3LS1
no mejoró 1.61 en initial L 6 con j = 17 localsearch 3LS1
no mejoró 1.6715 en initial L 6 con j = 18 localsearch 3LS1
no mejoró 1.61 en initial L 6 con j = 19 localsearch 3LS1
no mejoró 1.61 en initial L 6 con j = 20 localsearch 3LS1
no mejoró 1.61 en initial L 6 con j = 21 localsearch 3LS1
no mejoró 1.692 en initial L 6 con j = 22 localsearch 3LS1
no mejoró 1.61 en initial L 6 con j = 23 localsearch 3LS1
no mejoró 1.61 en initial L 6 con j = 24 localsearch 3LS1
no mejoró 1.61 en initial L 6 con j = 25 localsearch 3LS1
no mejoró 1.61 en initial L 6 con j = 26 localsearch 3LS2
no mejoró 1.692 en initial L 6 con j = 26 localsearch 3LS3
no mejoró 1.61 en initial L 6 con j = 27 localsearch 3LS1
no mejoró 1.6425 en initial L 6 con j = 28 localsearch 3LS1
no mejoró 1.61 en initial L 6 con j = 29 localsearch 3LS1
no mejoró 1.61 en initial L 6 con j = 30 localsearch 3LS1
no mejoró 1.622 en initial L 6 con j = 31 localsearch 3LS1
no mejoró 1.651 en initial L 6 con j = 32 localsearch 3LS1
no mejoró 1.6305 en initial L 6 con j = 33 localsearch 3LS1
no mejoró 1.651 en initial L 6 con j = 34 localsearch 3LS1
no mejoró 1.651 en initial L 6 con j = 35 localsearch 3LS1
no mejoró 1.61 en initial L 6 con j = 36 localsearch 3LS1
no mejoró 1.692 en initial L 6 con j = 37 localsearch 3LS1
no mejoró 1.6305 en initial L 6 con j = 38 localsearch 3LS1
no mejoró 1.6305 en initial L 6 con j = 39 localsearch 3LS1
